word	definition	score
botryoidal 	 having a shape reminiscent of a bunch of grapes	-1.0
bowdlerize 	to change (a book, play, movie, etc.) by removing parts that could offend people	-1.0
brabble	To argue over petty matters.	-1.0
breviloquence	 Speaking briefly and concisely.	-1.0
brinkmanship  	the practice of causing or allowing a situation to become extremely dangerous in order to get the results that you want.	-1.0
brood	to think deeply 	0.0
brumal 	adjective for Winter	-1.0
bruxism	 a condition in which one grinds or clenches their teeth.	-1.0
bucolic 	relating to the pleasant aspects of the countryside and country life; relating to or typical of rural life	-1.0
bumf	Useless or tedious printed material	-1.0
burgher 	 a citizen of a town or city, typically a member of the wealthy bourgeoisie; a prosperous solid citizen.	-1.0
cachinnate	To laugh loudly or immoderately.	-1.0
cacography	1) bad handwriting; poor penmanship. 2) incorrect spelling.	-1.0
cacotopia	 a state in which everything is as bad as it can be	-1.0
cadence	a measure of beat of movement 	0.0
cafuné	The act of running your fingers through the hair of someone you love	-1.0
cairn	 a heap of stones piled up as a memorial or as a landmark	-1.0
callipygian	having shapely buttocks	-1.0
calumny	 an untrue statement that is made to damage someone's reputation; also 	-1.0
calx	substance formed after combustion; the true elemental substance having lost its phlogiston in the process of combustion 	0.0
telamon	pillar shaped as a male figure	-1.0
magnoperate	To magnify the greatness of, to act grandly	-1.0
canarding	 The action of playing a wind instrument in such a way as to produce a harsh sound like that of a duck.	-1.0
canescent 	Growing white, or assuming a color approaching to white	-1.0
carbuncle 	a smooth, uncunt red stone, usually a garnet OR a large boil on one's skin OR (in heraldry) eight scepters or staves radiating from a common center	-1.0
carcanet	An ornamental necklace, chain, collar, or headband	-1.0
carceral	 of or relating to a jail or prison.	0.0
caryatid	draped female figure used instead of a column as a support.	-1.0
casuistry	 The use of clever but unsound reasoning, especially in relation to moral questions; sophistry.	-1.0
casus belli	An act or event that provokes or is used to justify war	-1.0
catachresis, n	 Improper use of words; application of a term to a thing which it does not properly denote; abuse or perversion of a trope or metaphor.	-1.0
cataphracted	covered with an armor of horny or bony plates or scales.	-1.0
cataplexy	 a sudden loss of muscle power following a strong emotional stimulus	-1.0
cataplexy	a sudden loss of muscle power following a strong emotional stimulus	-1.0
cathect  	 to invest with mental or emotional energy	-1.0
cenotaph	 A monument erected in honor of a dead person whose remains lie elsewhere.	-1.0
cephalophore	a saint who is generally depicted carrying his or her own head	-1.0
cerebrotonic	 resembling a personality type characterised by shyness, introspection and emotional restraint	-1.0
cerise 	a deep to vivid reddish pink.	-1.0
chantpleure	 to sing and weep at the same time	-1.0
charientism 	an insult that is artfully veiled; From Ancient Greek χαριεντισμός	-1.0
chatoyant	 Having a changeable lustre like that of a cat’s eye at night.	-1.0
chatoyant	showing a band of bright reflected light caused by aligned inclusions in the stone 	0.0
chiaroscuro 	The contrasting effect of light and dark shading in a work of art (or mood/character), Italian	-1.0
chicanery	 the use of sly or evasive language or reasoning to trick or deceive	-1.0
chicanery 	the use of trickery to achieve a political, financial, or legal purpose; deception by artful subterfuge or sophistry; a piece of sharp practice (as at law)	-1.0
chiral	Not superimposable on its mirror image.	-1.0
chitosemidori 	a dark green color like the green of pine needles. The pine that always bears green leaves in the changing seasons was a symbol of longevity and immutability in Japan.	-1.0
churly 	 rude, churlish, violent. Churlish 	-1.0
chyron 	 an electronically generated caption superimposed on a television or cinema screen	-1.0
cimmerian	Very dark or gloomy.	-1.0
cimmerian 	 1. (Classical Mythology). of, relating to, or suggestive of a western people believed to dwell in perpetual darkness. 2. very dark; gloomy; e.g. deep caverns	-1.0
cingulomania 	A strong desire to hold a person in one's arms whether he or she is known or not.	-1.0
circumlocution 	 the use of many words where fewer would do, especially in a deliberate attempt to be vague or evasive	-1.0
claque	1) A group hired to applaud at a performance 2) A group of sycophants	-1.0
cleptocracy – a government where officials are politically corrupt and financially self	interested	-1.0
clotho	one of the three fates, the one who spins the thread of fate	-1.0
coeval	Of the same or equal age, antiquity, or duration.	-1.0
cognoscenti 	 people who are especially well informed about a particular subject.	-1.0
comely	pretty 	0.0
comminate	1) to threaten with divine punishment or vengeance. 2) to curse; anathematize	-1.0
complaisant 	willing to please others; obliging; agreeable. Not to be confused with complacent.	-1.0
compotator	One who drinks (alcoholic beverages) with another; a fellow drinker.	-1.0
conatus 	In early philosophies of psychology and metaphysics, is an innate inclination of a thing to continue to exist and enhance itself 	-1.0
concision	 the quality or state of being concise; using only the words necessary to convey an idea	-1.0
concomitant 	accompanying especially in a subordinate or incidental way	-1.0
concupiscence	A strong desire, especially sexual desire; lust	-1.0
concupiscence	strong desire, especially sexual desire	-1.0
concupiscent	 A strong desire, especially sexual desire; lust.	-1.0
conflate	mix up	0.0
connubial 	Use the adjective connubial to describe something that relates to marriage or to the relationship between spouses, such as connubial bliss or a connubial argument about who will take out the trash.	-1.0
contranym	 A Word That Can Be Its Own Antonym	-1.0
contrecoup 	an injury to the brain on the opposite side of the point of impact, caused by the brain rebounding against the skull	-1.0
contronym	A word that is its own antonym (opposite)	-1.0
contumely  	 harsh language or treatment arising from contempt	-1.0
copacetic 	completely satisfactory; in excellent order; nothing to worry about.	-1.0
corbeau 	a very dark green color	-1.0
costive	 literally, it means constipated, while figuratively, it means slow to action	-1.0
covenant	contract, agreement	-1.0
craquelure	a network of fine cracks on the surface of a painting	0.0
craquelure 	a network of fine cracks on the surface of a painting	-1.0
crepuscular	Of or relating to twilight	-1.0
crunt	 A blow on the head with a club.	-1.0
cryptomnesia 	the appearance in consciousness of memory images which are not recognized as such but which appear as original creations	-1.0
cryptomnesia 	when a forgotten memory returns without it being recognized as such by the subject, who believes it is something new and original.	-1.0
cryptophasia  	 a language developed by twins (identical or fraternal) that only the two children can understand	-1.0
cucumeriform	Shaped like a Cucumber	-1.0
cunctator	A procrastinator	-1.0
curglaff  	 The shock felt in bathing, when one first plunges into the cold water	-1.0
cynosure	something that is at the center of attention 	0.0
dalliance	 a casual romantic or sexual relationship; a period of brief or casual involvement with something.	-1.0
dalliance	a casual romantic or sexual relationship 	0.0
dank 	 unpleasantly moist or wet	-1.0
darkle	To become clouded or gloomy.	-1.0
decathect	To withdraw one's feelings of attachment from (a person, idea, or object), as in anticipation of a future loss.	-1.0
decimate 	  to select by lot and kill every tenth man of	-1.0
decoct	Boil down, concentrate.	-1.0
defenestrate 	 To throw something (usually a person) out of a window.	-1.0
deipnosophist	A person who is an adept conversationalist at table.	-1.0
deliquesce	 to melt away	-1.0
demagogue 	a political leader who tries to get support by making false claims and promises and using arguments based on emotion rather than reason	-1.0
demesne	land attached to a manor 	0.0
demotic	ordinary, colloquial 	0.0
demure	modest, shy 	0.0
dendritic	Having a branching structure similar to a tree	-1.0
denouement	final part of play where all things are revealed 	0.0
descanso	A cross placed at the site of a violent, unexpected death, in memoriam.	-1.0
desuetude	a state of disuse 	0.0
desultory	slow, lacking a plan or purpose 	0.0
deuteragonist	 The second most important character in a drama, the second actor.	-1.0
diacritic	A mark that is placed over, under, or through a letter in some languages to show that the letter should be pronounced in a particular way.	0.0
diaphanous	translucent 	0.0
diegetic	(of film music) That occurs as part of the action (rather than as background), and can be heard by the film's characters.	-1.0
discalceate	 To remove one's shoes, go barefoot, esp. as a token of reverence or humility.	-1.0
discalced 	unshod, barefoot	-1.0
dissemble	conceal one’s true motives 	0.0
dittohead	One who mindlessly agrees with an idea or opinion.	-1.0
dixi 	literally translated as: I have spoken. When used, it usually means: I have said all that I had to say and thus the argument is settled	-1.0
doctrinaire	 A person inflexibly attached to a practice or theory without regard to its practicality	-1.0
doggerel	comic verse composed in irregular rhythm; verse or words that are badly written or expressed. 	-1.0
dolorific	Causing pain or grief	-1.0
dorodango 	A Japanese art form in which earth and water are moulded to create a delicate shiny sphere resembling a billiard ball.	-1.0
doryphore	  One who gains inordinate pleasure from detecting minor errors; a pedantic nitpicker	-1.0
doryphore	a pedantic and annoyingly persistent critic	-1.0
dotard	a person, especially an old person, exhibiting a decline in mental faculties.	-1.0
doxy	1) A female lover; a mistress. 2) A sexually promiscuous woman	-1.0
drapetomania	 An overwhelming urge to run away	-1.0
droog	A violent young gang member or a hooligan.	-1.0
dulcet	sweet or soothing (often used ironically)	0.0
dysania 	 A state of finding it hard to get out of bed in the morning.	-1.0
dysteleology	 the philosophical view that existence has no telos, no final cause from purposeful design 	-1.0
dystheism	The belief that there is a god, but that this god is not good, and possibly, although not necessarily evil	-1.0
ebullient	cheerful and full of energy 	0.0
ecdysiast 	 A person who disrobes to provide entertainment for others	-1.0
ecumenopolis	a city made of the whole world 	-1.0
edulcorate 	make (something) more acceptable or palatable	-1.0
effervescent	fizzy 	0.0
effloresce	blossom; or lose moisture and turn into a fine powder 	0.0
eidolon	A phantom; an apparition. An image of an ideal.	-1.0
eigengrau	The dark grey colour seen by the eyes in perfect darkness, as a result of signals from the optic nerves	-1.0
elflock	A tangled lock of hair 	-1.0
elision	the omission of a sound or syllable when speaking 	0.0
elixir	magical/medicinal potion 	0.0
eloquent	fluent, persuasive 	0.0
elucubrate	To produce a piece of work by intensive effort at night	-1.0
elucubrate 	 burn the midnight oil; to work out or express by studious effort; to produce (especially literary work) by long and intensive effort	-1.0
embonpoint 	the plump or fleshy part of a person's body, in particular a woman's bosom.	-1.0
embrocation	a liquid used to rub on body to relieve pain 	0.0
emollient	a preparation that softens the skin 	0.0
endonym	 A name used by a group or category of people to refer to themselves or their language, as opposed to a name given to them by other groups.	-1.0
enjambment	The continuation of a sentence without a pause beyond the end of a line, couplet, or stanza	-1.0
ennui	a feeling of listlessness and dissatisfaction arising from a lack of occupation or excitement.	-1.0
ephemeral	temporary 	0.0
epicaricacy 	the English word for 'schadenfreude'	-1.0
epiphany	a moment of insight 	0.0
eponymous 	 (of a person) being the person after whom a literary work, film, etc., is named	-1.0
equivocate	use ambiguous language so as to conceal the truth or avoid committing oneself	-1.0
eremite	A hermit, especially a religious recluse.	-1.0
ersatz	 (Of a product) made or used as a substitute, typically an inferior one, for something else	-1.0
ersatz 	 not real or genuine; bogus; counterfeit	-1.0
erstwhile	belonging to some prior time	0.0
erudition	Knowledge gained chiefly from books.	-1.0
erythrean 	 red in color; of or relating to the sea that in ancient geography comprised the Arabian sea, the Red sea, and the Persian gulf.	-1.0
esculent	edible 	0.0
escutcheon	The part of a ship's stern on which the name is displayed	-1.0
esoteric	Understood or meant for only the select few who have special knowledge or interest	-1.0
essorant	Standing, but with the wings spread, as if about to fly	-1.0
ethereal	extremely delicate and light 	0.0
etiolated	make weak by stunting the growth or development of	0.0
etiology	the cause, set of causes, or manner of causation of a disease or condition	1.0
eucatastrophe  	sudden turn of events at the end of a story which ensures that the protagonist does not meet some terrible, impending, and very plausible doom	-1.0
euchre	To cheat, trick, or outwit.	-1.0
euhemerism	The idea that gods are based on historical heroes whose stories became exaggerated in retelling.	-1.0
evanescent	 transient	0.0
evocative	 bringing strong memories to mind 	0.0
excogitate 	 To think out; devise.	-1.0
exeleutherostomize	To speak out freely.	-1.0
exemplar	something to be imitated	0.0
exergasia	The repetition of a single idea, phrased in a different way each time.	-1.0
exigent	demanding attention	0.0
exoteric	Intended for or likely to be understood by the general public.	-1.0
exsanguination	The process of bleeding to death.	-1.0
extropianism	evolving framework of values and standards for continuously improving the human condition	-1.0
faldage	 the right of the lord of a manor to the manure of his tenants' sheep	-1.0
farrago	a confused mixture	-1.0
façon de parler	 manner of speaking. 	0.0
feckless	1. ineffective; incompetent; futile. 2. having no sense of responsibility; indifferent; lazy.	-1.0
feculent 	filthy, scummy, muddy, or foul; of the nature of or containing waste matter.	-1.0
felicitation	Congratulations. 	-1.0
felicitous	 well chosen 	0.0
felicity	 the ability to find appropriate expression for one's thoughts.	-1.0
ferhoodle	 to confuse or mix up. <Don't ferhoodle the things in that drawer.>	-1.0
ferrule	the metal part that holds an eraser to a pencil	-1.0
fetching	 pretty 	0.0
feuillemort	Having the color of a faded leaf	-1.0
fifth column	A group of people which clandestinely undermines a larger group, such as a nation, to which it is expected to be loyal	-1.0
figura serpentinata 	This is an Italian phrase literally translated as serpentine figure. It is used to describe a human figure which spirals around a central axis, so that the lower limbs face in one direction and the torso almost in the opposite direction	-1.0
flammulated 	 Having flame	-1.0
floccinaucinihilipilification	 the action or habit of estimating something as worthless.	-1.0
floccinaucinihilipilification	The action or habit of estimating something as worthless.	-1.0
fluke	a stroke of luck	0.0
foofaraw 	 1. a great fuss or disturbance about something very insignificant. 2. an excessive amount of decoration or ornamentation, as on a piece of clothing, a building, etc.	-1.0
forbearance	 patient self control 	0.0
frangible	able to be broken into pieces 	-1.0
frass	 Debris or excrement produced by insects.	-1.0
fremdschämen	Feeling embarrassed on behalf of someone else who is oblivious of the embarrassment they are causing themselves	-1.0
frenchified	1) having contracted a venereal disease, 2) having become more like the French.	-1.0
fugacious	 fleeting; tending to disappear 	0.0
furlough	 1) a period of time when a soldier is allowed to leave the place where he or she is stationed; 2) a period of time when an employee is told not to come to work and is not paid; 3) a period of time when a prisoner is allowed to leave prison	-1.0
furtive	 attempting to avoid notice, usually due to guilt 	0.0
fusillade 	a number of shots fired simultaneously or in rapid succession	-1.0
fustilugs	A fat and slovenly person.	-1.0
futz 	 to spend one's time idly, aimlessly, or foolishly	-1.0
gambol	 jump about playfully 	0.0
gambol 	to run or jump in a lively way	-1.0
gargalesis 	heavy tickling that results in laughter	-1.0
gaslighting 	 A form of mental abuse in which information is twisted or spun, selectively omitted to favor the abuser, or false information is presented with the intent of making victims doubt their own memory, perception, and sanity.	-1.0
geniocracy 	a proposed system of government in which candidates must meet certain standards of intelligence and compassion to potentially be elected.	-1.0
gerontocracy 	A society governed by the elderly.	-1.0
gestalt	 an organized whole that is perceived as more than the sum of its parts.	0.0
ghost word	  A word that has come into a dictionary, grammar, or other scholarly work as a result of a misreading or misinterpretation, as by mistaking a typographical error for an actual word	-1.0
gigil 	The urge to pinch or squeeze something that is unbearably cute (filipino)	-1.0
gisant 	 a sculpted representation of a dead person lying down, usually as part of a tomb	-1.0
glamour	alluring beauty or charm (often with sex-appeal	0.0
gleed	a glowing coal.	-1.0
gonfalon	 A flag that hangs from a crosspiece or frame.	-1.0
gongoozling	the past time of watching the boats in UK canals.	-1.0
googling a word now provides all kinds of info	 definition, pronunciation, etymology, translations, and a chart of popularity over the centuries. (Info in comments)	-1.0
gossamer	 a fine, filmy substance consisting of cobwebs 	0.0
grandiloquent 	speaking or expressed in a lofty style, often to the point of being pompous or bombastic.	-1.0
greeble	 A small piece of detailing added to break up the surface of an object and add visual interest, particularly in movie special effects.	-1.0
grimthorpe	To restore or remodel something without paying attention to its original character, history, etc.	-1.0
grocer's apostrophe 	an incorrectly used apostrophe to form the plural of a word	-1.0
grok  	to understand (something) intuitively or by empathy (informal, American)	-1.0
gruntle	 to put in a good humor	-1.0
guttersnipe 	a homeless vagabond; a person of the lowest moral or economic station	-1.0
guytrash 	 a specter or ghost, especially in the form of an animal [dialectal, England]	-1.0
götterdämmerung	Wagner opera; twilight of the gods	0.0
hachure	To denote surfaces in relief (as on a map) by shading with short lines drawn in the direction of slope.	-1.0
hagiolatry	 The worship of saints.	-1.0
halcyon	 a period of time in the past that was idyllically happy and peaceful 	0.0
halcyon	1) calm; peaceful; tranquil. 2) happy; joyful; carefree. 3) a mythical bird, usually identified with the kingfisher, said to breed about the time of the winter solstice in a nest floating on the sea, and to have the power of charming winds and waves into calmness.	-1.0
hamartia	 A fatal flaw leading to the downfall of a tragic hero or heroine	-1.0
hapax legomenon	a word that occurs only once within a context	-1.0
hapax legomenon 	 A word that appears only once in a given context	-1.0
heliolatry 	worship of the sun.	-1.0
henotheism	 The worship of one god without denying the existence of other gods.	-1.0
hermeneutics	the science of interpretation, especially of the Bible	-1.0
hesychastic 	Soothing, calming (of music); of or relating to monks or their solitary meditative mysticism	-1.0
heterological 	being a word that does not possess the characteristic it describes	-1.0
hierophant	 A person, especially a priest, who interprets sacred mysteries or esoteric principles.	-1.0
hierophant 	an official expounder of rites of worship and sacrifice. any interpreter of sacred mysteries or esoteric principles; mystagogue	-1.0
hiraeth	 a homesickness for a home to which you cannot return, a home which maybe never was...	-1.0
hiraeth 	 homesickness for a home to which you cannot return, a home which maybe never was; an intense form of longing; the grief for the lost places of your past	-1.0
hobbledehoy	An awkward adolescent boy.	-1.0
holograph	A document written wholly in the handwriting of the person whose signature it bears	-1.0
holophrasis	 The use of a single word to convey a complex idea	-1.0
holophrastic 	 conveying a complex of ideas in a single word or phrase.	-1.0
honeyfuggle	To deceive or swindle, especially by flattery.	-1.0
horology 	The study and measurement of time.	0.0
horripilation 	The bristling of the body hair, as from fear or cold; a.k.a. goose bumps.	-1.0
houghmagandy	consensual sex between parties who aren't married to each other. It's Scottish, so the first syllable is pronounced hoch	-1.0
hoyden	A boisterous, bold, and carefree girl; a tomboy.	-1.0
hoyden	A rude, uncultured or rowdy girl or woman.	-1.0
humicubation 	 The act or practice of lying on the ground.	-1.0
hypaethral	(of a classical building) having no roof; open to the sky.	-1.0
hypegiaphobia	a fear of responsibility.	-1.0
hyperthymia	 excessive emotionalism	-1.0
hypophora 	A figure of speech where the speaker raises a question and then answers it. Differs to rhetoric where a question is raised but left unanswered	-1.0
iconoclast	a person who criticizes or opposes beliefs and practices that are widely accepted.	-1.0
iconotropy 	 misinterpretation of icons or myths of another (earlier) culture; especially to bring them into accord with notions of the recipient culture.	-1.0
idioglossia	a private language, as invented by a child or between two children, esp twins	-1.0
idiolect	 a distinctive speech pattern unique a particular individual	-1.0
idiolect	A person's individual speech pattern.	-1.0
ignivomous	 Vomiting fire	-1.0
illeism 	(often linguistics) The practice of (excessively) referring to oneself in the third person.	-1.0
imbricate	 arrange so that they overlap like roof tiles 	0.0
imbroglio	 a complicated, embarrassing situation 	0.0
